id,Elecciones,Partido,Porcentaje,Votos,Participacion,Electores,Votantes
"SAN JUAN","GENERALES 2023","JUNTOS POR EL CAMBIO","23.23","103118","74.91","607413","455037"
"SAN LUIS","GENERALES 2023","JUNTOS POR EL CAMBIO","20.97","66824","77.99","421037","328355"
"SANTA CRUZ","GENERALES 2023","JUNTOS POR EL CAMBIO","16.36","28101","70.25","265400","186441"
"SANTA FE","GENERALES 2023","JUNTOS POR EL CAMBIO","26.89","544677","73.22","2827794","2070486"
"SANTIAGO DEL ESTERO","GENERALES 2023","JUNTOS POR EL CAMBIO","8.09","49761","77.15","814128","628087"
"TIERRA DEL FUEGO","GENERALES 2023","JUNTOS POR EL CAMBIO","14.96","15875","74.11","147968","109652"
"TUCUMAN","GENERALES 2023","JUNTOS POR EL CAMBIO","14.62","153130","81.8","1319493","1079405"
"BUENOS AIRES","GENERALES 2023","LA LIBERTAD AVANZA","25.72","2533633","77.71","13124435","10199399"
"CATAMARCA","GENERALES 2023","LA LIBERTAD AVANZA","32.04","74570","72.81","340606","247986"
"CHACO","GENERALES 2023","LA LIBERTAD AVANZA","27.77","197596","72.45","1000094","724566"
"CHUBUT","GENERALES 2023","LA LIBERTAD AVANZA","35.02","120297","74.54","474701","353825"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","LA LIBERTAD AVANZA","19.85","369424","75.65","2526676","1911431"
"CORDOBA","GENERALES 2023","LA LIBERTAD AVANZA","33.55","769847","76.19","3060943","2332248"
"CORRIENTES","GENERALES 2023","LA LIBERTAD AVANZA","26.89","187916","76.8","930212","714443"
"ENTRE RIOS","GENERALES 2023","LA LIBERTAD AVANZA","29.75","247640","76.8","1145440","879653"
"FORMOSA","GENERALES 2023","LA LIBERTAD AVANZA","29.04","103911","75.61","482420","364755"
"JUJUY","GENERALES 2023","LA LIBERTAD AVANZA","37.39","168921","78.35","590950","463017"
"LA PAMPA","GENERALES 2023","LA LIBERTAD AVANZA","33.53","76341","77.33","300032","232000"
"LA RIOJA","GENERALES 2023","LA LIBERTAD AVANZA","37.65","89236","79.62","304409","242363"
"MENDOZA","GENERALES 2023","LA LIBERTAD AVANZA","42.36","469367","76.45","1494888","1142804"
"MISIONES","GENERALES 2023","LA LIBERTAD AVANZA","42.13","305629","75.89","989204","750671"
"NEUQUEN","GENERALES 2023","LA LIBERTAD AVANZA","36.71","155394","79.86","554077","442495"
"RIO NEGRO","GENERALES 2023","LA LIBERTAD AVANZA","33.73","148037","77.05","595968","459214"
"SALTA","GENERALES 2023","LA LIBERTAD AVANZA","40.4","309115","71.66","1091792","782342"
"SAN JUAN","GENERALES 2023","LA LIBERTAD AVANZA","35.1","155821","74.91","607413","455037"
"SAN LUIS","GENERALES 2023","LA LIBERTAD AVANZA","43.37","138251","77.99","421037","328355"
"SANTA CRUZ","GENERALES 2023","LA LIBERTAD AVANZA","36.3","62350","70.25","265400","186441"
"SANTA FE","GENERALES 2023","LA LIBERTAD AVANZA","32.48","657813","73.22","2827794","2070486"
"SANTIAGO DEL ESTERO","GENERALES 2023","LA LIBERTAD AVANZA","22.98","141344","77.15","814128","628087"
"TIERRA DEL FUEGO","GENERALES 2023","LA LIBERTAD AVANZA","33.82","35891","74.11","147968","109652"
"TUCUMAN","GENERALES 2023","LA LIBERTAD AVANZA","34.94","365992","81.8","1319493","1079405"
"BUENOS AIRES","GENERALES 2023","NULO","0.63","63865","77.71","13124435","10199399"
"CATAMARCA","GENERALES 2023","NULO","0.71","1766","72.81","340606","247986"
